numero_dpe,date_etablissement_dpe,id_rnb,identifiant_ban,adresse_ban,code_postal_ban,nom_commune_ban,code_departement_ban,type_batiment,periode_construction,annee_construction,surface_habitable_logement,etiquette_dpe,etiquette_ges,conso_5_usages_par_m2_ep
2633E1534034U,2026-06-08,,33466_0006_00009,9 Chemin du Biarnes 33750 Saint-Quentin-de-Baron,33750,Saint-Quentin-de-Baron,33,appartement,2006-2012,2009,42.6,D,B,184
2633E1533907X,2026-06-08,,33213_0256_00032_bis,32bis Rue des Templiers 33650 La Brède,33650,La Brède,33,maison,1989-2000,1993,62.2,D,B,196
2633E1532159R,2026-06-08,M714Z3Y44PZA,33550_0035_00031,31 Rue Alfred Nobel 33140 Villenave-d'Ornon,33140,Villenave-d'Ornon,33,immeuble,2006-2012,2008,,C,A,131.1
2633E1527859H,2026-06-08,,33522_1150_00162,162 Cours Gambetta 33400 Talence,33400,Talence,33,appartement,1989-2000,,21.1,D,B,232
2633E1538808K,2026-06-08,WMQQ1X7FFFV7,33529_2319_00035,35 Rue du Parc de l'Estey 33260 La Teste-de-Buch,33260,La Teste-de-Buch,33,maison,1978-1982,,85,D,D,223
2633E1538199Z,2026-06-08,,33281_2720_00046,46 Rue des Trois Etoiles 33700 Mérignac,33700,Mérignac,33,maison,1948-1974,1950,143,C,C,150
2633E1530488K,2026-06-08,QE1C584KRDW5,33063_5220_00061,61 Rue de Laseppe 33000 Bordeaux,33000,Bordeaux,33,appartement,1978-1982,,28.2,D,B,218
2633E1535012K,2026-06-08,,33063_6150_00003,3 Rue Matignon 33000 Bordeaux,33000,Bordeaux,33,appartement,1948-1974,1949,35.6,D,B,214.7
2633E1532715B,2026-06-08,CXV9T9ZJSXTC,33214_0749_00002,2 Avenue du Lieutenant Princeteau 33680 Lacanau,33680,Lacanau,33,appartement,1983-1988,,26.3,C,B,194
2633E1536319R,2026-06-08,,33063_4900_00025,25 Rue Kléber 33800 Bordeaux,33800,Bordeaux,33,appartement,avant 1948,,22.5,C,A,157
2633E1532620K,2026-06-08,,33394_72bvrw_04025,4025 Route du Milieu 33330 Saint-Émilion,33330,Saint-Émilion,33,appartement,2001-2005,,37.3,C,A,173
2633E1533729B,2026-06-08,,33005_0650_00013,13 Avenue du Phare 33510 Andernos-les-Bains,33510,Andernos-les-Bains,33,maison,avant 1948,,66.9,B,A,82
2633E1537230S,2026-06-08,,33352_0120_00042,42 Rue Armand Caduc 33190 La Réole,33190,La Réole,33,appartement,avant 1948,,66.5,C,A,122
2633E1535446C,2026-06-08,,33429_mxm2yk_00280,280 Rue des Fougères 33113 Saint-Léger-de-Balson,33113,Saint-Léger-de-Balson,33,maison,avant 1948,1900,170.1,E,B,257.6
2633E1538216Q,2026-06-08,AH8FBNFJHF9E,33539_0150_00028,28 Rue du Port 33870 Vayres,33870,Vayres,33,maison,avant 1948,,227.4,C,C,159
2633E1530532C,2026-06-08,,33063_amt1vd_00024,24 Rue Laporte 33200 Bordeaux,33200,Bordeaux,33,appartement,1948-1974,,51.7,D,D,221
2633E1526050S,2026-06-08,,33529_0464_00001,1 Place de la Brasserie 33260 La Teste-de-Buch,33260,La Teste-de-Buch,33,maison,1983-1988,,59.5,D,D,161
2633E1531018U,2026-06-08,,33555_0112_00019,19 Rue Georges Good 33380 Marcheprime,33380,Marcheprime,33,appartement,1989-2000,,52,C,C,110
2633E1532988O,2026-06-08,,33324_0041_00053_ter,53ter Avenue du Maréchal Leclerc 33220 Pineuilh,33220,Pineuilh,33,maison,2001-2005,,98.5,C,B,162
2633E1537968C,2026-06-08,,33056_felhr9,Résidence domaine de Corbeil 33290 Blanquefort,33290,Blanquefort,33,appartement,2013-2021,2016,79,C,C,72
2633E1537826Q,2026-06-08,,33063_1330_00009,9 Rue Cabanac 33800 Bordeaux,33800,Bordeaux,33,appartement,avant 1948,,69.1,C,A,146
2633E1534256I,2026-06-08,3BDSVVP37DWH,33249_0350_00037,37 Rue Georges Vitrac 33310 Lormont,33310,Lormont,33,appartement,avant 1948,,43.7,C,B,171
2633E1537490S,2026-06-08,RT43HQYABA2F,33229_0324_00011,11 Rue des Fauvettes 33138 Lanton,33138,Lanton,33,maison,1983-1988,1984,52.8,E,C,279
2633E1526433L,2026-06-08,1YDB3H5NTF4Y,33243_0519_00002,2 Esplanade Francois Mitterrand 33500 Libourne,33500,Libourne,33,appartement,avant 1948,1848,107.9,C,A,152.1
2633E1528901J,2026-06-08,,33075_0098_00010,10 Rue de la Colonne 33520 Bruges,33520,Bruges,33,immeuble,1948-1974,,,D,D,222
2633E1535544W,2026-06-08,,33063_8650_00018,18 Rue de Sete 33800 Bordeaux,33800,Bordeaux,33,maison,avant 1948,,72.8,D,D,187
2633E1529593Z,2026-06-08,58B8S3M53QD2,33281_0280_00047_ter,47ter Avenue du Bedat 33700 Mérignac,33700,Mérignac,33,immeuble,1989-2000,1990,,C,A,137
2633E1533348K,2026-06-08,,33063_rwn1sj_00011,11 Avenue de la Gare 33200 Bordeaux,33200,Bordeaux,33,appartement,2006-2012,,62.5,C,C,87
2633E1539048Q,2026-06-08,Q41N149GY9X6,33063_0495_00012,12 Rue Ausone 33000 Bordeaux,33000,Bordeaux,33,appartement,avant 1948,,41.4,E,C,328
2633E1530029T,2026-06-08,QE1C584KRDW5,33063_5220_00061,61 Rue de Laseppe 33000 Bordeaux,33000,Bordeaux,33,appartement,1978-1982,,22.7,D,B,261
2633E1526494U,2026-06-08,,33207_2020_00045,45 Route de la Fossé du Moulin 33450 Izon,33450,Izon,33,maison,avant 1948,,79.1,C,B,154
2633E1529328U,2026-06-08,G857PX1HRV1K,33075_0098_00010,10 Rue de la Colonne 33520 Bruges,33520,Bruges,33,immeuble,1948-1974,,,E,E,273
2633E1536058Q,2026-06-08,BEEGK7JMHKEX,33550_2igr62,Résidence Sarcignan 1 33140 Villenave-d'Ornon,33140,Villenave-d'Ornon,33,appartement,1948-1974,,64.1,E,C,303
2633E1538521J,2026-06-08,85G3NPAJPD3T,33336_vw7802,Lieu-dit Sable Rouge 33730 Préchac,33730,Préchac,33,maison,1948-1974,,90.8,E,B,257
2633E1528491P,2026-06-08,J9GGVX61Z1C6,33273_0226_00001,1 Rue Marcel Issartier 33127 Martignas-sur-Jalle,33127,Martignas-sur-Jalle,33,appartement,2013-2021,,61,C,C,62
2633E1537912Y,2026-06-08,8JPZPDYX2WKF,33003_0130_00058_ter,58ter Rue de Carbon-Blanc 33440 Ambarès-et-Lagrave,33440,Ambarès-et-Lagrave,33,maison,1975-1977,1975,98.4,B,A,98.8
2633E1531123V,2026-06-08,QHWKHHFTGWV1,33039_0550_00086,86 Rue Chevalier de la Barre 33130 Bègles,33130,Bègles,33,appartement,2006-2012,2011,58.4,C,C,101
2633E1536497N,2026-06-08,,33063_4900_00025,25 Rue Kléber 33800 Bordeaux,33800,Bordeaux,33,appartement,avant 1948,,44.6,C,A,133
2633E1528663F,2026-06-08,FS4PMKRFVHKV,33063_4845_00055,55 Rue Jules Guesde 33800 Bordeaux,33800,Bordeaux,33,appartement,avant 1948,,28.9,F,C,374
2633E1538903B,2026-06-08,,33063_3090_00021,21 Cours Edouard Vaillant 33300 Bordeaux,33300,Bordeaux,33,appartement,avant 1948,1900,66.4,C,B,173.3
2633E1533460S,2026-06-08,VP1CVVWA9BG9,33281_2269_00001,1 Rue des Perdrix 33700 Mérignac,33700,Mérignac,33,maison,1983-1988,,102,D,B,215
2633E1525904C,2026-06-08,,33009_0855_00033,33 Boulevard du Général Leclerc 33120 Arcachon,33120,Arcachon,33,appartement,1983-1988,1983,38.4,D,D,157
2633E1532720G,2026-06-08,,33205_tmu288_00091,91 Impasse des Lavandières 33720 Illats,33720,Illats,33,maison,avant 1948,,49,D,B,214
2633E1529289H,2026-06-08,,33318_0170_00017_ter,17ter Rue des Anciennes Ecoles 33600 Pessac,33600,Pessac,33,maison,1948-1974,1949,124.4,B,A,85
2633E1534914Q,2026-06-08,,33042_0227_00068,68 Rue du Stade 33830 Belin-Béliet,33830,Belin-Béliet,33,maison,1978-1982,,155,E,B,261
2633E1531988C,2026-06-08,,33029_0031_00069,69 Rue de la Carreyre 33114 Le Barp,33114,Le Barp,33,maison,1989-2000,1996,94.7,C,B,179
2633E1533457P,2026-06-08,FXGY2E485XZS,33063_6390_00012,12 Rue Minvielle 33000 Bordeaux,33000,Bordeaux,33,appartement,avant 1948,,101.7,B,A,76
2633E1537846K,2026-06-08,,33376_0519_00023,23 Allée du Pic Vert 33160 Saint-Aubin-de-Médoc,33160,Saint-Aubin-de-Médoc,33,maison,1989-2000,,173.6,C,C,139
2633E1525825B,2026-06-08,,33119_0490_00005,5 Rue François Coppee 33150 Cenon,33150,Cenon,33,maison,1989-2000,,74.6,D,D,211
2633E1534203H,2026-06-08,GSQRK98A7EDX,33318_1310_00012,12 Rue Francis Garnier 33600 Pessac,33600,Pessac,33,maison,avant 1948,,87.5,G,F,463
2633E1532619J,2026-06-08,XWNNTHYZ3WSS,33550_0893_00001,1 Rue Louis Braille 33140 Villenave-d'Ornon,33140,Villenave-d'Ornon,33,maison,1948-1974,1965,110,D,D,145
2633E1535108C,2026-06-08,GXY8BAY25Q4V,33039_1330_00013,13 Rue Louis Denis Mallet 33130 Bègles,33130,Bègles,33,appartement,2013-2021,2015,41.8,C,C,78
2633E1530168C,2026-06-08,QE1C584KRDW5,33063_5220_00061,61 Rue de Laseppe 33000 Bordeaux,33000,Bordeaux,33,appartement,1948-1974,,22.7,C,A,138
2633E1534039Z,2026-06-08,Q52F3N79CX1Q,33236_1135_00022,22 Avenue du Monument Salins 33970 Lège-Cap-Ferret,33970,Lège-Cap-Ferret,33,maison,après 2021,,240,B,A,108
2633E1537096O,2026-06-08,SWKC7MYVTWZ6,33205_oa8ueh_00396,396 Route du Rude 33720 Illats,33720,Illats,33,maison,avant 1948,,65,C,B,178
2633E1528069J,2026-06-08,TPETJHC6JZ5N,33366_0943_00080,80 Route de Salignac 33240 Saint-André-de-Cubzac,33240,Saint-André-de-Cubzac,33,appartement,2001-2005,,43,C,A,158
2633E1532144C,2026-06-08,,33522_1150_00023,23 Cours Gambetta 33400 Talence,33400,Talence,33,appartement,avant 1948,1945,32,C,A,172
2633E1530098K,2026-06-08,BN2Z1NP3PBE6,33039_0700_00008,8 Rue Edmond Rostand 33130 Bègles,33130,Bègles,33,maison,2013-2021,2015,84.9,A,A,54.5
2633E1536676K,2026-06-08,,33229_0425_00012,12 Avenue Louis Robert 33138 Lanton,33138,Lanton,33,maison,1975-1977,1976,68.7,C,B,162
2633E1534526S,2026-06-08,4DJE19TYB7HX,33063_7280_00004,4 Rue Pierre de Coubertin 33000 Bordeaux,33000,Bordeaux,33,immeuble,avant 1948,,,D,D,190
2633E1532182O,2026-06-08,,33063_8920_00220,220 Avenue Thiers 33100 Bordeaux,33100,Bordeaux,33,appartement,2006-2012,2010,61.9,C,A,127
2633E1538116U,2026-06-08,,33220_0236_00054,54 Rue Principale 33460 Lamarque,33460,Lamarque,33,maison,avant 1948,,143.3,D,B,235
2633E1530003T,2026-06-08,,33011_0798_00002,2 Rue Pissaro 33740 Arès,33740,Arès,33,maison,1978-1982,1982,37.7,E,C,276
2633E1531413Z,2026-06-08,4ZJT43R8QFSR,33063_7240_00058,58 Rue Peyronnet 33800 Bordeaux,33800,Bordeaux,33,appartement,avant 1948,,29.2,D,B,220
2633E1534985J,2026-06-08,,33063_0340_00055,55 Rue Arago 33300 Bordeaux,33300,Bordeaux,33,appartement,avant 1948,,57.8,D,B,199
2633E1535314A,2026-06-08,,33075_0035_00025,25 Rue Ausone 33520 Bruges,33520,Bruges,33,immeuble,2006-2012,2010,,C,A,142
2633E1526040I,2026-06-08,,33318_0855,Avenue de la Chataigneraie 33600 Pessac,33600,Pessac,33,appartement,1948-1974,,71,E,E,285
2633E1527387D,2026-06-08,KM9916SMHC6C,33281_2210_00028,28 Chemin de Pagneau 33700 Mérignac,33700,Mérignac,33,appartement,2006-2012,2010,35.9,C,A,143
2633E1526609F,2026-06-08,M5W3B9D2KMD2,33069_0sqep7_00135,135 Avenue de la Libération Charles de Gaulle 33110 Le Bouscat,33110,Le Bouscat,33,appartement,2013-2021,2017,60,C,C,103
2633E1531384W,2026-06-08,58B8S3M53QD2,33281_0280_00047_ter,47ter Avenue du Bedat 33700 Mérignac,33700,Mérignac,33,appartement,1989-2000,,46.2,D,B,192
2633E1530325D,2026-06-08,6Z26NPBQ113A,33119_0312_00032,32 Rue Clément Ader 33150 Cenon,33150,Cenon,33,appartement,2013-2021,2017,77.6,B,B,50.7
2633E1527485X,2026-06-08,,33227_0316,Rue des Chênes 33210 Langon,33210,Langon,33,appartement,1983-1988,,67,C,C,123
2633E1527511X,2026-06-08,,33318_3179,Avenue du Stade 33600 Pessac,33600,Pessac,33,immeuble,2006-2012,2009,,C,B,172
2633E1532370U,2026-06-08,XNBNS8WKFWGQ,33522_1745_00004,4 Rue Marc Sangnier 33400 Talence,33400,Talence,33,appartement,1989-2000,1990,22.2,C,A,144
2633E1536269T,2026-06-08,,33236_0908,Allée de la Jetée 33970 Lège-Cap-Ferret,33970,Lège-Cap-Ferret,33,appartement,1989-2000,1989,36.9,D,B,226.5
2633E1534320U,2026-06-08,,33063_9115_00070,70 Rue Turenne 33000 Bordeaux,33000,Bordeaux,33,appartement,1948-1974,,68.7,D,D,205
2633E1533769P,2026-06-08,,33063_5395_00033,33 Rue Léonard Lenoir 33100 Bordeaux,33100,Bordeaux,33,appartement,2006-2012,2009,108.6,D,B,218
2633E1537143J,2026-06-08,86PTSQQ35NGF,33529_1745_00032,32 Rue Lagrua 33260 La Teste-de-Buch,33260,La Teste-de-Buch,33,maison,1948-1974,,106.5,C,A,149
2633E1530203L,2026-06-08,SYK1DEVEE5SY,33529_3fzpj7_00012,12 Le Pujeau du Large 33260 La Teste-de-Buch,33260,La Teste-de-Buch,33,maison,1948-1974,,56.4,D,B,237
2633E1536981D,2026-06-08,5MEXVTMQ1Y1G,33366_0381_00010,10 Chemin du Granger 33240 Saint-André-de-Cubzac,33240,Saint-André-de-Cubzac,33,maison,2001-2005,,96.4,C,A,126
2633E1528175L,2026-06-08,G857PX1HRV1K,33075_0098_00010,10 Rue de la Colonne 33520 Bruges,33520,Bruges,33,immeuble,1948-1974,,,E,D,259
2633E1535865F,2026-06-08,,33514_0215_00100_bis,100bis Route des Lacs 33780 Soulac-sur-Mer,33780,Soulac-sur-Mer,33,maison,2013-2021,,85,B,A,93
2633E1536564C,2026-06-08,,33243_0536_00006,6 Rue Gabriel Massias 33500 Libourne,33500,Libourne,33,appartement,2001-2005,,89.6,B,A,101
2633E1532011Z,2026-06-08,6RFAJ9Y8N865,33274_0840_00020,20 Route de Mondet 33650 Martillac,33650,Martillac,33,maison,avant 1948,,75.3,C,A,150
2633E1536125F,2026-06-08,A319VK6AQM85,33199_vtt5jk_00004,4 Rue Jules Ferry 33470 Gujan-Mestras,33470,Gujan-Mestras,33,maison,2013-2021,2021,195,A,A,37
2633E1536937L,2026-06-08,7B12PFGF7JYM,33192_5848_00030,30 Cours du Général de Gaulle 33170 Gradignan,33170,Gradignan,33,appartement,2006-2012,2009,58.9,C,A,157
2633E1538589Z,2026-06-08,,33063_8480,Impasse Sainte Ursule 33000 Bordeaux,33000,Bordeaux,33,appartement,1975-1977,,69.1,D,B,243
2633E1536975X,2026-06-08,HYRADHNXYTDR,33281_2422_00040,40 Rue du Pradinat 33700 Mérignac,33700,Mérignac,33,maison,2013-2021,,66.6,C,C,92
2633E1530415P,2026-06-08,QE1C584KRDW5,33063_5220_00061,61 Rue de Laseppe 33000 Bordeaux,33000,Bordeaux,33,appartement,1978-1982,,22.1,C,A,159
2633E1528594O,2026-06-08,,33240_0740_00039,39 Cours Jean Jaurés 33340 Lesparre-Médoc,33340,Lesparre-Médoc,33,maison,avant 1948,,220,C,B,175
2633E1525137P,2026-06-07,,33349_0023_00007,7 Chemin de la Dame Verte 33360 Quinsac,33360,Quinsac,33,maison,2013-2021,2017,98.7,A,A,49
2633E1523513D,2026-06-07,6PM6HAJ1FPQ3,33013_0258_00016,16 Avenue du Périgord 33370 Artigues-près-Bordeaux,33370,Artigues-près-Bordeaux,33,appartement,2013-2021,,43.3,C,C,108
2633E1524765H,2026-06-07,,33097_0106_00001,1 Route de la Résine 33121 Carcans,33121,Carcans,33,maison,1975-1977,1976,104.6,D,B,190
2633E1524237Z,2026-06-07,QSC359CE3R8V,33063_7735_00112,112 Rue Quintin 33000 Bordeaux,33000,Bordeaux,33,appartement,1948-1974,1972,21.1,D,B,237
2633E1525028K,2026-06-07,,33063_5716_00037,37 Rue Lucie Aubrac 33300 Bordeaux,33300,Bordeaux,33,appartement,2013-2021,,53.4,C,C,146
2633E1525676I,2026-06-07,,33063_7560_00199,199 Boulevard du Président Franklin Roosevelt 33800 Bordeaux,33800,Bordeaux,33,appartement,avant 1948,,81.9,B,A,74
2633E1523516G,2026-06-07,CJ7PJMDNKF85,33192_6113_00014,14 Allée de Guyenne 33170 Gradignan,33170,Gradignan,33,maison,1948-1974,,90.5,D,C,187
2633E1523623J,2026-06-07,,33293_0192_00029,29 Route de Sampau 33450 Montussan,33450,Montussan,33,maison,après 2021,,45.3,C,B,169
2633E1523472O,2026-06-07,,33293_0192_00029,29 Route de Sampau 33450 Montussan,33450,Montussan,33,maison,après 2021,,45.5,C,B,166
2633E1523514E,2026-06-07,,33293_0192_00029,29 Route de Sampau 33450 Montussan,33450,Montussan,33,maison,après 2021,,45.3,C,A,147
2633E1523537B,2026-06-07,,33293_0192_00029,29 Route de Sampau 33450 Montussan,33450,Montussan,33,maison,après 2021,,45.6,C,A,147
2633E1525000I,2026-06-07,EZY2126S7PV6,33063_8390_00227,227 Rue Sainte-Catherine 33000 Bordeaux,33000,Bordeaux,33,appartement,avant 1948,,76.4,E,E,282
2633E1523873Z,2026-06-07,D4JF53SP7EZJ,33140_0078_00009_bis,9bis Rue Bauduc 33670 Créon,33670,Créon,33,maison,2013-2021,,86.6,A,A,69
2633E1525417J,2026-06-07,AZ81JWSCZJTJ,33550_8z6v7d_00050,50 Rue Sadi Carnot 33140 Villenave-d'Ornon,33140,Villenave-d'Ornon,33,maison,1948-1974,,111.3,D,D,211
2633E1524719N,2026-06-07,,33318_0540_00007,7 Avenue Bougnard 33600 Pessac,33600,Pessac,33,appartement,1989-2000,,48.2,D,B,213
2633E1523563B,2026-06-07,,33293_0192_00029,29 Route de Sampau 33450 Montussan,33450,Montussan,33,maison,après 2021,,45.2,C,B,165
2633E1524700U,2026-06-07,,33522_2140_00002,2 Rue Pierre Curie 33400 Talence,33400,Talence,33,appartement,1989-2000,,49.9,C,A,156
2633E1524415V,2026-06-07,,33069_1050_00090,90 Avenue Léon Blum 33110 Le Bouscat,33110,Le Bouscat,33,appartement,1989-2000,1994,30.9,C,A,172
2633E1524868G,2026-06-07,,33063_gmj7ar_00158,158 Rue Jules Ferry 33200 Bordeaux,33200,Bordeaux,33,appartement,1978-1982,,47.1,D,B,230
2633E1523303B,2026-06-07,,33063_8705_00104,104 Cours de la Somme 33800 Bordeaux,33800,Bordeaux,33,appartement,avant 1948,,29.7,E,B,300
2633E1524535L,2026-06-07,EREARTSAVWYE,33200_0509_00023,23 Rue du Hapchot 33185 Le Haillan,33185,Le Haillan,33,maison,1983-1988,1986,95.9,D,B,182
2633E1525542E,2026-06-07,FYDS3CV3K62R,33554_0508_00157,157 Avenue du Périgord 33370 Yvrac,33370,Yvrac,33,maison,1978-1982,,127.2,D,D,193
2633E1523331D,2026-06-07,,33193_0058_00060,60 Rue des Bernaches 33590 Grayan-et-l'Hôpital,33590,Grayan-et-l'Hôpital,33,maison,avant 1948,,111.9,C,A,140
2633E1523833L,2026-06-07,JP59YWWNSDCY,33201_a011_00084,84 Lotissement Chanteloup 33550 Haux,33550,Haux,33,maison,2001-2005,,98.1,C,A,140
2633E1525012U,2026-06-07,,33119_1653_00195,195 Avenue René Cassagne 33150 Cenon,33150,Cenon,33,appartement,2013-2021,,45.7,B,B,55
2633E1525043Z,2026-06-07,,33063_3365_00021,21 Rue de la Faiencerie 33300 Bordeaux,33300,Bordeaux,33,appartement,2013-2021,,62,B,B,87
2633E1525412E,2026-06-07,,33063_8235_00190,190 Rue de Saint Genès 33000 Bordeaux,33000,Bordeaux,33,appartement,avant 1948,1900,38.1,C,A,166
2633E1523342O,2026-06-07,KGWM49G78PBE,33213_0098_00023,23 Chemin d'Eyquem 33650 La Brède,33650,La Brède,33,maison,avant 1948,,76.8,D,D,238
2633E1523295T,2026-06-07,YA7BG23VGVST,33227_0793_00011,11 Rue Lafargue 33210 Langon,33210,Langon,33,appartement,avant 1948,,19,D,B,250
2633E1523928C,2026-06-07,46M4CK427HPB,33140_0862_00001,1 Chemin de la Scierie 33670 Créon,33670,Créon,33,maison,2006-2012,,73.4,C,B,158
2633E1524892E,2026-06-07,,33063_0370_00014,14 Cours Aristide Briand 33000 Bordeaux,33000,Bordeaux,33,appartement,1948-1974,1949,64,B,A,103
2633E1523307F,2026-06-07,,33393_0042_00043_ter,43ter Route de l’Europe 33910 Saint-Denis-de-Pile,33910,Saint-Denis-de-Pile,33,maison,2006-2012,2008,151.4,B,A,103
2633E1524819J,2026-06-07,,33046_yvld8e_00225,225 Rue de Chaulet 33430 Bernos-Beaulac,33430,Bernos-Beaulac,33,maison,1983-1988,,54.9,D,B,195
2633E1524066K,2026-06-07,7CANQ17X9XDZ,33069_0sqep7_00265,265 Avenue de la Libération Charles de Gaulle 33110 Le Bouscat,33110,Le Bouscat,33,appartement,2013-2021,2019,43.3,C,C,100
2633E1523442K,2026-06-07,BJFPRJJWV1Y6,33063_6440_00018,18 Rue Monadey 33800 Bordeaux,33800,Bordeaux,33,appartement,1989-2000,1990,16.2,C,A,192
2633E1525093X,2026-06-07,,33522_1900,Rue de Megret 33400 Talence,33400,Talence,33,appartement,avant 1948,,52.2,C,C,82
2633E1523489F,2026-06-07,,33063_9115_00127,127 Rue Turenne 33000 Bordeaux,33000,Bordeaux,33,appartement,1989-2000,1990,111.3,C,A,152
2633E1523369P,2026-06-07,4V9X7DF7XCW6,33200_0507_00017_d,17D Rue des Graves 33185 Le Haillan,33185,Le Haillan,33,maison,2006-2012,,163.8,B,A,80
2633E1523351X,2026-06-07,,33352_1260_00022,22 Rue Orcibal 33190 La Réole,33190,La Réole,33,maison,avant 1948,,91.2,F,F,400
2633E1523505V,2026-06-07,,33063_0930_00026,26 Rue Billaudel 33800 Bordeaux,33800,Bordeaux,33,appartement,1975-1977,,41.2,C,C,165
2633E1525389H,2026-06-07,XW2X97FKFFBG,33274_0240_00034,34 Chemin Castaing 33650 Martillac,33650,Martillac,33,maison,avant 1948,,78.4,D,D,219
2633E1523576O,2026-06-07,,33293_0192_00029,29 Route de Sampau 33450 Montussan,33450,Montussan,33,maison,après 2021,,45.3,C,A,148
2633E1523616C,2026-06-07,,33293_0192_00029,29 Route de Sampau 33450 Montussan,33450,Montussan,33,maison,après 2021,,45.2,C,A,146
2633E1523316O,2026-06-07,,33063_0125_00002,2 Rue d'Alembert 33000 Bordeaux,33000,Bordeaux,33,appartement,avant 1948,,23.6,E,C,360
2633E1523436E,2026-06-07,B2BG3R47E3FR,33063_0745_00082,82 Rue de la Bechade 33000 Bordeaux,33000,Bordeaux,33,appartement,1978-1982,,36.8,D,B,187
2633E1524456K,2026-06-07,,33063_4510_00047,47 Cours de l'Intendance 33000 Bordeaux,33000,Bordeaux,33,appartement,avant 1948,1900,50,C,B,166
2633E1523360G,2026-06-07,,33236_1159_00048,48 Route du Moulin 33950 Lège-Cap-Ferret,33950,Lège-Cap-Ferret,33,maison,avant 1948,,80.2,E,C,281
2633E1524854S,2026-06-07,,33063_0370_00014,14 Cours Aristide Briand 33000 Bordeaux,33000,Bordeaux,33,appartement,1948-1974,,29,C,B,196
2633E1523493J,2026-06-07,,33063_6120_00021,21 Place Martyrs de la Résistance 33000 Bordeaux,33000,Bordeaux,33,appartement,avant 1948,,41.8,E,E,252
2633E1524795L,2026-06-07,,33256_0719_00020,20 Route de Pauillac 33290 Ludon-Médoc,33290,Ludon-Médoc,33,maison,2001-2005,,126.5,C,A,116
2633E1524214C,2026-06-07,,33314_3681_00039,39 Rue Jean Jaurès 33250 Pauillac,33250,Pauillac,33,maison,avant 1948,,112,D,B,248
2633E1523492I,2026-06-07,,33063_3190_00032,32 Rue Emile Zola 33000 Bordeaux,33000,Bordeaux,33,appartement,avant 1948,,94.1,E,C,254
2633E1524978M,2026-06-07,,33318_2185_00004,4 Avenue du Maréchal Juin 33600 Pessac,33600,Pessac,33,appartement,2013-2021,2018,62.8,C,C,71
2633E1524187B,2026-06-07,,33203_A035,Résidence le Génois 4 33990 Hourtin,33990,Hourtin,33,maison,1983-1988,,30.7,D,B,246
2633E1524942C,2026-06-07,,33063_6445_00006,6 Rue Mondenard 33000 Bordeaux,33000,Bordeaux,33,appartement,avant 1948,1900,37.8,D,B,202
2633E1523688W,2026-06-07,61Q7D7E72VBQ,33293_0192_00029,29 Route de Sampau 33450 Montussan,33450,Montussan,33,appartement,1948-1974,,57.9,E,C,275
2633E1524598W,2026-06-07,DHWXT2BXXYWD,33318_2180_00014,14 Rue du Maréchal Foch 33600 Pessac,33600,Pessac,33,maison,1948-1974,,66,C,A,118
2633E1524294E,2026-06-07,,33550_0933_00038,38 Rue Marcelin Berthelot 33140 Villenave-d'Ornon,33140,Villenave-d'Ornon,33,maison,1948-1974,1950,111,E,E,329
2633E1524960U,2026-06-07,,33318_2185_00004,4 Avenue du Maréchal Juin 33600 Pessac,33600,Pessac,33,appartement,2013-2021,2018,65.5,C,C,68
2633E1523378Y,2026-06-07,,33281_ugv9tw_00058,58 Rue Jean Monnet 33700 Mérignac,33700,Mérignac,33,appartement,2001-2005,,63,C,A,145
2633E1524920G,2026-06-07,,33281_1930_00087,87 Avenue de la Marne 33700 Mérignac,33700,Mérignac,33,maison,avant 1948,,123,D,B,201
2633E1523386G,2026-06-07,,33063_1435_00009,9 Rue Camille Godard 33000 Bordeaux,33000,Bordeaux,33,appartement,avant 1948,,39.4,D,B,185
2633E1523648I,2026-06-07,61Q7D7E72VBQ,33293_0192_00029,29 Route de Sampau 33450 Montussan,33450,Montussan,33,appartement,1948-1974,,59.7,D,B,182
2633E1524977L,2026-06-07,,33056_0920_00010,10 Rue de Solesse 33290 Blanquefort,33290,Blanquefort,33,maison,1989-2000,1995,153.3,C,C,101
2633E1525149B,2026-06-07,,33522_1900,Rue de Megret 33400 Talence,33400,Talence,33,appartement,avant 1948,,52.4,C,C,99
2633E1523544I,2026-06-07,,33293_0192_00029,29 Route de Sampau 33450 Montussan,33450,Montussan,33,maison,après 2021,,45.4,C,B,168
2633E1523289N,2026-06-07,,33479_973bax_00155,155 Route des Écuries 33190 Saint-Sève,33190,Saint-Sève,33,maison,1983-1988,1985,91.6,D,B,231
2633E1523203F,2026-06-06,JWDBJW9CYBCG,33056_0975_00004_a,4A Rue du Vivey 33290 Blanquefort,33290,Blanquefort,33,maison,1983-1988,,183.4,B,A,86
2633E1521808O,2026-06-06,4AMDTSDRGC44,33039_0140_00013,13 Rue Amédée Saint-Germain 33130 Bègles,33130,Bègles,33,maison,avant 1948,,130.3,E,E,228
2633E1522482M,2026-06-06,Q58VB87HFBTB,33063_0520_00004,4 Rue des Ayres 33000 Bordeaux,33000,Bordeaux,33,appartement,avant 1948,,56.5,F,C,416
2633E1521566G,2026-06-06,,33063_7jmtzo_00082,82 Rue de la Liberté 33200 Bordeaux,33200,Bordeaux,33,appartement,1989-2000,1994,32.1,C,A,132.1
2633E1522565R,2026-06-06,,33063_2390_00078,78 Rue de la Croix Blanche 33000 Bordeaux,33000,Bordeaux,33,appartement,avant 1948,,37.2,D,B,216
